pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,pitch_mean,pitch_std,pitch_min,pitch_max,yaw_mean,yaw_std,yaw_min,yaw_max
-3.6096954,179.70749,60795,76561199479902304,0,2,0_2,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.7528,60796,76561199479902304,0,2,0_2,0.0,0.04531000000000063,0.0,0.04531000000000063,0.0,0.04531000000000063,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.7528,60797,76561199479902304,0,2,0_2,0.0,0.0,0.0,-0.04531000000000063,0.0,-0.09062000000000126,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.6096954,179.7528,60798,76561199479902304,0,2,0_2,0.0,0.0,0.0,0.0,0.0,0.04531000000000063,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.654663,179.79779,60799,76561199479902304,0,2,0_2,-0.04496760000000011,0.04498999999998432,-0.04496760000000011,0.04498999999998432,-0.04496760000000011,0.04498999999998432,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.654663,179.79779,60800,76561199479902304,0,2,0_2,0.0,0.0,0.04496760000000011,-0.04498999999998432,0.08993520000000021,-0.08997999999996864,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.654663,179.79779,60801,76561199479902304,0,2,0_2,0.0,0.0,0.0,0.0,-0.04496760000000011,0.04498999999998432,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.654663,179.79779,60802,76561199479902304,0,2,0_2,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.654663,179.79779,60803,76561199479902304,0,2,0_2,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.654663,179.79779,60804,76561199479902304,0,2,0_2,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
-3.654663,179.79779,60805,76561199479902304,0,2,0_2,0.0,0.0,0.0,0.0,0.0,0.0,1.535333648914141,3.361150115585056,-6.2265015,15.4309845,-32.81483947736111,81.58124944671226,-179.93134,179.966
