tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
80859,0.26263428,-300.51508,-78.57216,-1638.4675,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80860,0.13903809,-301.56104,-80.22457,-1638.7373,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80861,0.07723999,-302.81555,-83.328896,-1639.0176,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80862,0.21629333,-304.25818,-87.2517,-1639.2927,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80863,0.40168762,-305.80212,-90.44838,-1639.7618,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80864,0.5252838,-307.45715,-92.90417,-1640.4137,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80865,0.50982666,-309.21118,-94.10854,-1641.2146,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80866,0.49438477,-311.057,-94.30939,-1642.1519,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80867,0.46348572,-312.72095,-94.21669,-1643.0024,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80868,0.43258667,-314.3656,-94.093094,-1643.8899,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80869,0.40168762,-315.99194,-93.98495,-1644.8104,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80870,0.38623047,-317.6009,-93.95439,-1645.761,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80871,0.38623047,-319.19373,-93.95439,-1646.7383,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80872,0.38623047,-320.77148,-93.95439,-1647.7397,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80873,0.38623047,-322.33557,-93.95439,-1648.7625,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80874,0.38623047,-323.8871,-93.95439,-1649.8041,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
