pitch,yaw,tick,steamid,name
11.005554,54.139587,31062,76561198312099217,MtGods
11.081421,54.240875,31063,76561198312099217,MtGods
11.182709,54.392624,31064,76561198312099217,MtGods
11.283997,54.62024,31065,76561198312099217,MtGods
11.384918,54.84787,31066,76561198312099217,MtGods
11.486206,55.151703,31067,76561198312099217,MtGods
11.536682,55.353928,31068,76561198312099217,MtGods
11.6128845,55.556488,31069,76561198312099217,MtGods
11.6887665,55.80951,31070,76561198312099217,MtGods
11.764648,56.087616,31071,76561198312099217,MtGods
11.890991,56.492386,31072,76561198312099217,MtGods
12.01767,56.770813,31073,76561198312099217,MtGods
12.118607,57.02385,31074,76561198312099217,MtGods
12.2453,57.251465,31075,76561198312099217,MtGods
12.321167,57.40323,31076,76561198312099217,MtGods
12.397034,57.580383,31077,76561198312099217,MtGods
12.472916,57.732117,31078,76561198312099217,MtGods
12.548798,58.1369,31079,76561198312099217,MtGods
12.574188,58.541687,31080,76561198312099217,MtGods
12.599258,58.870575,31081,76561198312099217,MtGods
12.65007,59.174423,31082,76561198312099217,MtGods
12.700531,59.503326,31083,76561198312099217,MtGods
12.801819,59.83223,31084,76561198312099217,MtGods
12.903107,60.31288,31085,76561198312099217,MtGods
13.05484,60.869415,31086,76561198312099217,MtGods
13.307877,61.552612,31087,76561198312099217,MtGods
13.510101,62.007874,31088,76561198312099217,MtGods
13.585968,62.260895,31089,76561198312099217,MtGods
13.687256,62.539337,31090,76561198312099217,MtGods
13.763123,62.66568,31091,76561198312099217,MtGods
13.813934,62.741547,31092,76561198312099217,MtGods
13.889801,62.817413,31093,76561198312099217,MtGods
13.991089,63.07045,31094,76561198312099217,MtGods
14.066956,63.525696,31095,76561198312099217,MtGods
14.117432,64.487335,31096,76561198312099217,MtGods
14.142838,65.34737,31097,76561198312099217,MtGods
14.2187195,66.86554,31098,76561198312099217,MtGods
14.345062,68.939896,31099,76561198312099217,MtGods
14.496796,71.92543,31100,76561198312099217,MtGods
14.648895,75.39162,31101,76561198312099217,MtGods
14.749832,79.515625,31102,76561198312099217,MtGods
14.800644,84.372925,31103,76561198312099217,MtGods
14.775238,89.88843,31104,76561198312099217,MtGods
14.724762,94.21463,31105,76561198312099217,MtGods
14.623489,99.93268,31106,76561198312099217,MtGods
14.522217,105.473206,31107,76561198312099217,MtGods
14.395874,110.229614,31108,76561198312099217,MtGods
14.041565,116.883545,31109,76561198312099217,MtGods
13.738068,121.20975,31110,76561198312099217,MtGods
13.307877,126.80112,31111,76561198312099217,MtGods
13.029449,129.9638,31112,76561198312099217,MtGods
12.776413,132.89853,31113,76561198312099217,MtGods
12.548798,134.94781,31114,76561198312099217,MtGods
12.371643,136.28848,31115,76561198312099217,MtGods
12.169418,137.6549,31116,76561198312099217,MtGods
12.093536,138.54034,31117,76561198312099217,MtGods
12.068146,139.04639,31118,76561198312099217,MtGods
12.068146,139.19815,31119,76561198312099217,MtGods
12.093536,139.60294,31120,76561198312099217,MtGods
12.068146,140.61505,31121,76561198312099217,MtGods
11.941803,141.93066,31122,76561198312099217,MtGods
11.764648,143.11957,31123,76561198312099217,MtGods
11.43573,144.89078,31124,76561198312099217,MtGods
11.081421,146.76294,31125,76561198312099217,MtGods
10.777924,148.63507,31126,76561198312099217,MtGods
10.499496,150.2037,31127,76561198312099217,MtGods
10.145187,152.63239,31128,76561198312099217,MtGods
9.942963,154.12512,31129,76561198312099217,MtGods
9.689941,156.12396,31130,76561198312099217,MtGods
9.487381,157.92023,31131,76561198312099217,MtGods
9.361038,159.2609,31132,76561198312099217,MtGods
9.183884,160.9813,31133,76561198312099217,MtGods
9.006729,162.65121,31134,76561198312099217,MtGods
8.829575,163.91635,31135,76561198312099217,MtGods
8.652771,165.4342,31136,76561198312099217,MtGods
8.526077,166.82568,31137,76561198312099217,MtGods
8.450195,167.86319,31138,76561198312099217,MtGods
8.298462,169.30515,31139,76561198312099217,MtGods
8.095886,170.51947,31140,76561198312099217,MtGods
7.741928,172.13861,31141,76561198312099217,MtGods
7.5647736,173.02435,31142,76561198312099217,MtGods
7.362213,174.21329,31143,76561198312099217,MtGods
