pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id
2.8598785,170.36395,2088,76561198389634571,3,3,3_3
2.94812,170.38593,2089,76561198389634571,3,3,3_3
3.1678467,170.42987,2090,76561198389634571,3,3,3_3
3.3000183,170.47418,2091,76561198389634571,3,3,3_3
3.5420532,170.51813,2092,76561198389634571,3,3,3_3
3.740158,170.58405,2093,76561198389634571,3,3,3_3
3.9159393,170.62799,2094,76561198389634571,3,3,3_3
4.136017,170.69391,2095,76561198389634571,3,3,3_3
4.3341064,170.78214,2096,76561198389634571,3,3,3_3
4.6200867,171.09009,2097,76561198389634571,3,3,3_3
4.7738953,171.39804,2098,76561198389634571,3,3,3_3
4.993973,172.29996,2099,76561198389634571,3,3,3_3
5.170105,173.59805,2100,76561198389634571,3,3,3_3
5.236023,174.10413,2101,76561198389634571,3,3,3_3
5.390167,174.72003,2102,76561198389634571,3,3,3_3
5.41214,174.76398,2103,76561198389634571,3,3,3_3
5.522003,174.67609,2104,76561198389634571,3,3,3_3
5.653839,174.49997,2105,76561198389634571,3,3,3_3
5.764038,174.2799,2106,76561198389634571,3,3,3_3
5.9841156,173.70792,2107,76561198389634571,3,4,3_4
6.072006,173.39996,2108,76561198389634571,3,4,3_4
6.270111,172.74011,2109,76561198389634571,3,4,3_4
6.3799744,172.3439,2110,76561198389634571,3,4,3_4
6.6000366,171.39804,2111,76561198389634571,3,4,3_4
6.6879272,170.84805,2112,76561198389634571,3,4,3_4
6.886017,169.61584,2113,76561198389634571,3,4,3_4
6.99588,168.8681,2114,76561198389634571,3,4,3_4
7.1060944,167.70184,2115,76561198389634571,3,4,3_4
7.2159576,166.22797,2116,76561198389634571,3,4,3_4
7.370117,164.16013,2117,76561198389634571,3,4,3_4
7.4799805,161.6961,2118,76561198389634571,3,4,3_4
7.523926,158.85785,2119,76561198389634571,3,4,3_4
7.458008,155.40402,2120,76561198389634571,3,4,3_4
7.39209,151.818,2121,76561198389634571,3,4,3_4
7.2818756,147.81418,2122,76561198389634571,3,4,3_4
7.128067,143.48007,2123,76561198389634571,3,4,3_4
6.99588,139.23386,2124,76561198389634571,3,4,3_4
6.467865,131.97394,2125,76561198389634571,3,4,3_4
6.1818695,128.49817,2126,76561198389634571,3,4,3_4
5.522003,122.53601,2127,76561198389634571,3,4,3_4
4.9500275,118.70795,2128,76561198389634571,3,4,3_4
4.5318604,116.221954,2129,76561198389634571,3,4,3_4
4.136017,114.48407,2130,76561198389634571,3,4,3_4
3.871994,113.77991,2131,76561198389634571,3,4,3_4
3.6738892,113.58215,2132,76561198389634571,3,4,3_4
3.5200806,113.73596,2133,76561198389634571,3,4,3_4
3.2341003,114.77005,2134,76561198389634571,3,4,3_4
3.0579834,116.15604,2135,76561198389634571,3,4,3_4
2.8818512,118.00415,2136,76561198389634571,3,4,3_4
2.7500153,120.40192,2137,76561198389634571,3,4,3_4
2.573883,123.37201,2138,76561198389634571,3,4,3_4
2.4859924,124.956085,2139,76561198389634571,3,5,3_5
2.156067,130.17014,2140,76561198389634571,3,5,3_5
1.848114,135.31793,2141,76561198389634571,3,5,3_5
1.6500092,137.38611,2142,76561198389634571,3,5,3_5
1.1659241,141.74219,2143,76561198389634571,3,5,3_5
0.55000305,146.29602,2144,76561198389634571,3,5,3_5
0.32992554,147.8801,2145,76561198389634571,3,5,3_5
0.021972656,150.01385,2146,76561198389634571,3,5,3_5
-0.48408508,153.42407,2147,76561198389634571,3,5,3_5
-0.7041626,154.63394,2148,76561198389634571,3,5,3_5
-1.0560608,156.1521,2149,76561198389634571,3,5,3_5
-1.1439514,156.30591,2150,76561198389634571,3,5,3_5
-1.1439514,156.34985,2151,76561198389634571,3,5,3_5
-1.1439514,156.34985,2152,76561198389634571,3,5,3_5
-1.1439514,156.34985,2153,76561198389634571,3,5,3_5
-1.1439514,156.34985,2154,76561198389634571,3,5,3_5
-1.1439514,156.34985,2155,76561198389634571,3,5,3_5
-1.1439514,156.34985,2156,76561198389634571,3,5,3_5
-1.1439514,156.34985,2157,76561198389634571,3,5,3_5
-1.1439514,156.34985,2158,76561198389634571,3,5,3_5
-1.1439514,156.34985,2159,76561198389634571,3,5,3_5
-1.1439514,156.34985,2160,76561198389634571,3,5,3_5
-1.1439514,156.34985,2161,76561198389634571,3,5,3_5
-1.1439514,156.34985,2162,76561198389634571,3,5,3_5
-1.1439514,156.34985,2163,76561198389634571,3,5,3_5
