tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
13871,9.1553955,643.25146,-162.00061,182.18689,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13872,9.282074,643.7724,-162.19083,180.67004,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13873,9.282074,644.25195,-162.19083,179.27444,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13874,9.282074,644.7538,-162.19083,177.80093,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13875,9.187317,645.2908,-162.3175,176.21005,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13876,8.997116,645.8338,-162.60246,174.58817,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13877,8.902008,646.3809,-162.79266,172.94293,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13878,8.902008,646.9318,-162.91934,171.27426,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13879,8.96553,647.48627,-163.14114,169.58208,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13880,9.092224,648.0433,-163.55278,167.86607,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13881,9.12381,648.602,-163.93283,166.12599,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13882,9.092224,649.16187,-164.15463,164.36635,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13883,8.997116,649.6768,-164.21814,162.74823,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13884,8.997116,650.1456,-164.21814,161.27835,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13885,8.997116,650.4905,-164.24973,160.23145,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13886,8.997116,650.6915,-164.34482,159.67596,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13887,8.997116,650.7718,-164.5031,159.5266,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13888,9.092224,650.7206,-165.0102,159.77815,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13889,9.218903,650.61084,-165.83382,160.24278,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13890,9.409103,650.4533,-167.2277,160.92282,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13891,9.472275,650.2501,-167.70287,161.81868,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13892,9.50386,650.0022,-167.98782,162.9306,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13893,9.50386,649.71027,-168.14644,164.25893,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13894,9.50386,649.3762,-168.17802,165.7948,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13895,9.50386,649.0033,-168.20961,167.52136,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13896,9.50386,648.5951,-168.24155,169.42337,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13897,9.50386,648.1553,-168.36823,171.48657,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13898,9.535797,647.6937,-168.46298,173.66422,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13899,9.567383,647.2287,-168.46298,175.86507,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13900,9.63089,646.75995,-168.39981,178.0891,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13901,9.852325,646.2861,-167.95624,180.33598,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13902,10.0425415,645.8061,-167.19577,182.59877,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13903,10.137634,645.36475,-166.78413,184.67992,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13904,10.137634,644.96436,-166.78413,186.56834,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13905,10.137634,644.6191,-166.78413,188.21176,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13906,10.137634,644.37366,-166.78413,189.41626,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13907,10.200806,644.244,-166.78413,190.10966,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13908,10.454529,644.20825,-166.49918,190.39008,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13909,10.866165,644.264,-165.8654,190.25734,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13910,11.499939,644.366,-164.5982,189.90765,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13911,11.943512,644.5305,-163.58437,189.34619,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13912,12.165298,644.7596,-163.17273,188.57391,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13913,12.165298,645.0532,-163.17273,187.59059,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13914,12.165298,645.41113,-163.17273,186.39629,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13915,12.165298,645.7492,-163.17273,185.26929,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13916,12.165298,646.0585,-163.17273,184.2392,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13917,12.291992,646.3362,-163.29941,183.31328,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13918,12.481842,646.5846,-163.86966,182.48453,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13919,12.545349,646.8487,-164.62979,181.59125,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13920,12.513763,647.1637,-165.64362,180.48938,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13921,12.323578,647.4909,-166.24545,179.32501,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13922,12.22847,647.7677,-166.37215,178.35475,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13923,12.22847,647.94196,-166.37215,177.79,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13924,12.22847,647.98376,-166.37215,177.73532,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13925,12.22847,647.9159,-166.43567,178.01656,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13926,12.101776,647.79785,-166.68903,178.51242,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13927,11.911591,647.6313,-167.06909,179.22356,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13928,11.658203,647.41754,-167.41757,180.15039,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13929,11.499939,647.1572,-167.54425,181.2931,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13930,11.309738,646.85046,-167.67093,182.65175,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13931,11.056366,646.50073,-167.86115,184.21507,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13932,10.581207,646.11365,-168.2412,185.9668,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13933,10.200806,645.6942,-168.55807,187.89204,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13934,10.106049,645.24506,-168.62125,189.97662,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13935,10.106049,645.06165,-168.62125,190.82823,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13936,10.200806,644.87177,-168.49457,191.71794,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13937,10.644379,644.6733,-167.73445,192.64633,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13938,11.436432,644.4602,-165.42183,193.61316,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13939,12.006683,644.22614,-162.7288,194.61797,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13940,12.386749,643.969,-161.58829,195.6612,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13941,12.450256,643.68964,-161.46161,196.74399,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13942,12.450256,643.39355,-161.46161,197.85303,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13943,12.386749,643.0838,-161.49353,198.98265,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13944,11.880005,642.7619,-161.8736,200.13322,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13945,11.151459,642.4293,-162.34875,201.30515,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13946,10.422592,642.08655,-162.41226,202.49854,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13947,9.915848,641.7337,-162.12695,203.7134,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13948,9.757568,641.37054,-161.96869,204.94966,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13949,9.757568,640.9969,-161.81007,206.20728,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13950,10.074127,640.61237,-161.58862,207.4861,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
