tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
6045,2.597931,-118.25879,-36.97757,-699.7366,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6046,2.597931,-117.3313,-35.900238,-702.822,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6047,2.597931,-116.40454,-35.2668,-705.9566,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6048,2.5659943,-115.49573,-34.759705,-709.1533,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6049,2.5659943,-114.60156,-34.18979,-712.4116,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6050,2.5344086,-113.71759,-33.841324,-715.7211,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6051,2.5028229,-112.84143,-33.55603,-719.07745,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6052,2.5028229,-111.97125,-33.33423,-722.47656,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6053,2.4708862,-111.10626,-33.302643,-725.91516,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6054,2.4708862,-110.246216,-33.302643,-729.3901,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6055,2.4708862,-109.390625,-33.302643,-732.8982,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6056,2.4708862,-108.53876,-33.239136,-736.4367,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6057,2.4708862,-107.690125,-33.175964,-740.003,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6058,2.4708862,-106.8443,-33.112457,-743.5948,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6059,2.4708862,-106.00055,-33.08087,-747.20984,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6060,2.4708862,-105.15857,-33.08087,-750.84644,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6061,2.4708862,-104.318726,-33.08087,-754.50116,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6062,2.4708862,-103.484375,-33.08087,-758.15717,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6063,2.4708862,-102.65515,-33.112457,-761.81433,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6064,2.4708862,-101.83057,-33.144043,-765.47253,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6065,2.4708862,-101.01068,-33.175964,-769.13184,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6066,2.4708862,-100.194824,-33.175964,-772.792,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6067,2.4708862,-99.38306,-33.175964,-776.45306,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6068,2.4708862,-98.57477,-33.175964,-780.1149,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6069,2.4708862,-97.76965,-33.175964,-783.77747,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6070,2.4708862,-96.96765,-33.175964,-787.4407,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
