tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
60721,0.9503174,-154.05786,-68.06648,-829.69836,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60722,0.9503174,-153.37231,-68.06648,-831.39307,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60723,0.9503174,-152.68677,-68.06648,-833.08777,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60724,0.9503174,-152.00122,-68.06648,-834.7825,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60725,0.9503174,-151.31561,-68.06648,-836.4772,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60726,0.9503174,-150.63007,-68.06648,-838.1719,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60727,0.9503174,-149.94452,-68.06648,-839.8666,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60728,0.9503174,-149.25891,-68.06648,-841.5613,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60729,0.9503174,-148.57336,-68.06648,-843.256,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60730,0.9503174,-147.88782,-68.06648,-844.9507,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
