tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
25529,10.327835,578.8158,-81.976204,212.2989,-601.4514,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25530,10.295898,577.68677,-82.54646,210.26189,-602.1085,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25531,10.0425415,576.46875,-83.71857,208.16527,-602.78485,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25532,9.725647,575.1648,-84.8275,206.01744,-603.47766,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25533,9.440689,573.77765,-85.93609,203.82614,-604.1846,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25534,9.218903,572.47546,-86.75972,201.54866,-604.91925,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25535,8.997116,571.29016,-87.71038,199.16878,-605.68695,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25536,8.902008,570.2184,-89.07234,196.68216,-606.4891,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25537,8.870422,569.2293,-90.909805,194.10895,-607.31915,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25538,8.838837,568.30554,-93.000984,191.4567,-608.1747,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25539,8.806915,567.4335,-94.67983,188.73233,-609.0535,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25540,8.712158,566.6013,-96.10531,185.94225,-609.95355,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25541,8.680237,565.8017,-96.96087,183.0921,-610.873,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
