tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
21125,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21126,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21127,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21128,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21129,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21130,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21131,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21132,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21133,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21134,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21135,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21136,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21137,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21138,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21139,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21140,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21141,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21142,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21143,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21144,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21145,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21146,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21147,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21148,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21149,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21150,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
