tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
143791,-0.2533722,211.62184,-43.887634,-1190.953,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143792,-0.2533722,211.52565,-44.077484,-1191.0956,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143793,-0.28530884,211.3647,-44.172592,-1191.2793,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143794,-0.28530884,211.14885,-44.2677,-1191.5117,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143795,-0.31689453,210.89462,-44.48947,-1191.7795,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143796,-0.34848022,210.70695,-44.774445,-1191.977,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143797,-0.4119873,210.60136,-45.18643,-1192.0883,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143798,-0.4751587,210.56566,-45.43979,-1192.1257,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143799,-0.5067444,210.56566,-45.59807,-1192.1257,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143800,-0.5067444,210.56566,-45.66159,-1192.1257,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143801,-0.5067444,210.56512,-45.693176,-1192.1693,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143802,-0.5067444,210.56259,-45.725098,-1192.3619,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143803,-0.5067444,210.55879,-45.78827,-1192.6456,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143804,-0.5067444,210.55394,-45.819855,-1193.0021,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143805,-0.5067444,210.55412,-45.88336,-1193.4165,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143806,-0.5067444,210.66266,-45.88336,-1193.8239,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
