tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
64030,8.712158,380.55927,177.09412,-1251.0001,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64031,8.712158,377.54868,177.09412,-1251.9912,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64032,8.712158,374.4676,177.09412,-1252.8639,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64033,8.712158,371.3349,177.09412,-1253.6505,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64034,8.712158,368.15512,177.09412,-1254.3577,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64035,8.712158,364.93182,177.09412,-1254.9922,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64036,8.712158,361.66858,177.09412,-1255.5598,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64037,8.712158,358.4461,177.09412,-1256.2838,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64038,8.712158,355.26132,177.09412,-1257.1514,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64039,8.712158,352.11108,177.09412,-1258.1509,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64040,8.712158,348.99268,177.09412,-1259.2715,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64041,8.712158,345.90344,177.09412,-1260.5033,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64042,8.648651,342.8408,176.99936,-1261.837,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64043,8.395264,339.74564,176.77759,-1263.0999,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64044,8.332092,336.60083,176.71405,-1264.2443,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64045,8.300171,333.40366,176.65088,-1265.2627,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64046,8.2369995,330.16483,176.5242,-1266.1799,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64047,8.141907,326.8875,176.2073,-1267.0027,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64048,8.015213,323.57535,175.79532,-1267.7362,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64049,7.8885193,320.23102,175.51038,-1268.3866,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64050,7.7934265,316.85715,175.32016,-1268.9592,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64051,7.7299194,313.45642,175.1619,-1269.4597,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
