tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
148827,9.472626,629.56055,-17.316864,-1094.4653,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148828,9.97937,632.9105,-24.001343,-1094.6184,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148829,10.201141,636.245,-27.20111,-1094.891,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148830,10.359421,639.5591,-29.703949,-1095.2845,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148831,10.4861145,642.85114,-31.129425,-1095.7957,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148832,10.4861145,646.12225,-31.414719,-1095.9684,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148833,10.4861145,649.3741,-31.414719,-1095.9679,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148834,10.4861145,652.608,-31.414719,-1095.9674,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148835,10.4861145,655.8251,-31.47789,-1095.9669,-768.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148836,10.4861145,659.0267,-31.572998,-1096.1178,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148837,10.4861145,662.2137,-31.66809,-1096.4082,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148838,10.4861145,665.40234,-31.731262,-1096.7211,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148839,10.4861145,668.6114,-31.731262,-1096.9487,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148840,10.4861145,671.80927,-31.731262,-1097.292,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148841,10.4861145,674.99207,-31.731262,-1097.7675,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148842,10.391357,678.16095,-32.079742,-1098.3575,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148843,10.042877,681.3104,-34.3927,-1099.0627,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148844,9.789154,684.43176,-37.972534,-1099.8884,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148845,9.662476,687.5045,-44.75177,-1100.8501,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148846,9.567383,690.50684,-51.562958,-1101.9597,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148847,9.440689,693.40894,-60.116844,-1103.2295,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148848,9.377518,696.2401,-69.17713,-1104.5969,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148849,9.313995,699.0819,-80.96203,-1106.0099,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148850,9.28241,701.6935,-92.873955,-1107.3206,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148851,8.96553,704.0929,-106.3377,-1108.5249,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148852,8.300171,706.3218,-117.774124,-1109.7109,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
