tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
97709,-0.9503174,196.17172,-55.76145,-953.49084,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97710,-0.9503174,197.29889,-55.76145,-956.4582,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97711,-0.9503174,198.49693,-55.76145,-959.4233,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97712,-0.9819031,199.76016,-55.729866,-962.38605,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97713,-1.0769958,201.08429,-55.539665,-965.346,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97714,-1.1405182,202.4651,-55.286293,-968.30304,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97715,-1.2036896,203.90004,-54.77955,-971.25543,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97716,-1.2356262,205.38737,-54.145775,-974.20197,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97717,-1.2356262,206.92574,-53.512344,-977.14124,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97718,-1.2356262,208.51407,-52.688713,-980.0713,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97719,-1.330719,210.1547,-51.041107,-982.9877,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97720,-1.5840912,211.6618,-48.284912,-985.667,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97721,-2.0908356,213.04643,-43.37471,-988.1287,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97722,-2.7246094,214.31847,-37.70404,-990.3904,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97723,-3.4215546,215.48732,-31.241333,-992.46814,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97724,-4.1184998,216.56107,-24.208374,-994.3772,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97725,-4.688751,217.71347,-18.347504,-996.186,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97726,-5.2270813,218.94244,-13.088501,-997.8874,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97727,-5.6706543,219.90427,-8.970337,-999.20374,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97728,-6.0191345,220.7886,-5.8972473,-1000.41364,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97729,-6.3044434,221.59499,-3.9646912,-1001.51697,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97730,-6.5262146,222.35529,-2.7610016,-1002.48456,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97731,-6.7476654,223.05807,-2.0005493,-1003.2003,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97732,-6.8111877,223.67836,-1.8106842,-1003.6127,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97733,-6.8111877,224.21965,-1.8106842,-1003.7943,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97734,-6.8111877,224.68018,-1.8106842,-1003.91754,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97735,-6.8111877,225.04552,-1.8106842,-1004.01526,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97736,-6.8111877,225.29677,-1.8106842,-1004.0825,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97737,-6.8111877,225.46834,-1.8106842,-1004.21155,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97738,-6.8111877,225.56662,-1.7787476,-1004.53455,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97739,-6.8111877,225.6202,-1.7787476,-1005.0902,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97740,-6.8111877,225.65497,-1.7787476,-1005.83307,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97741,-6.8111877,225.67632,-1.7471619,-1006.7631,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
