tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
113594,8.046799,755.1454,8.607101,-1418.929,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113595,8.173492,756.24695,7.5300903,-1417.505,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113596,8.331757,757.2396,6.2944794,-1416.0231,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113597,8.458786,758.1353,5.438919,-1414.488,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113598,8.58548,758.94385,4.741974,-1412.9038,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113599,8.680237,759.67303,4.4254303,-1411.2743,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113600,8.712158,760.33,4.266815,-1409.603,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113601,8.807251,760.9216,3.9499207,-1407.8936,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113602,8.96553,761.4553,3.1898193,-1406.1484,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113603,9.092224,761.9383,2.492859,-1404.371,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113604,9.187317,762.41797,1.6692352,-1402.5823,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113605,9.218903,762.97815,0.8456116,-1400.813,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113606,9.218903,763.6332,0.30693054,-1399.0679,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113607,9.155731,764.35846,-0.0099487305,-1397.341,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113608,9.092224,765.1485,-0.10505676,-1395.6312,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113609,8.997116,765.99854,-0.23175049,-1393.9375,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113610,8.902008,766.9037,-0.42160034,-1392.259,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113611,8.77533,767.86035,-0.80200195,-1390.5952,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113612,8.648651,768.86597,-1.4673615,-1388.9463,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113613,8.490372,769.9181,-2.2590637,-1387.3131,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113614,8.363678,771.0335,-3.0195312,-1385.77,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113615,8.2369995,772.23157,-3.4315186,-1384.3607,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113616,8.141907,773.519,-3.7799835,-1383.0979,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113617,8.10997,774.8759,-3.9066772,-1381.9495,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113618,8.078384,776.2965,-4.0014343,-1380.9067,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113619,8.015213,777.7758,-4.160034,-1379.9614,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113620,7.9516907,779.3089,-4.4134216,-1379.1061,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113621,7.8885193,780.8913,-4.6667786,-1378.3346,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113622,7.8885193,782.5189,-4.8885803,-1377.6405,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
