tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
31040,-16.315384,1146.3844,-176.16096,-440.44666,-192.53125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31041,-16.315384,1146.3844,-176.16096,-440.45728,-191.5,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31042,-16.315384,1146.3844,-176.16096,-440.46796,-190.48438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31043,-16.315384,1146.3844,-176.16096,-440.47864,-189.45312,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31044,-16.315384,1146.3844,-176.16096,-440.48926,-188.42188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31045,-16.315384,1146.3844,-176.16096,-440.49988,-187.40625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31046,-16.315384,1146.3844,-176.16096,-440.51056,-186.375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31047,-16.315384,1146.3844,-176.16096,-440.52124,-185.34375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31048,-16.315384,1146.3844,-176.16096,-440.53186,-184.3125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31049,-16.315384,1146.3844,-176.16096,-440.54248,-183.29688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31050,-16.315384,1146.3844,-176.16096,-440.55316,-182.26562,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31051,-16.315384,1146.3844,-176.16096,-440.56384,-181.23438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31052,-16.315384,1146.3844,-176.16096,-440.57446,-180.21875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31053,-16.251862,1146.3844,-176.31924,-440.58472,-179.1875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31054,-15.871811,1146.3844,-176.5726,-440.59424,-178.17188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31055,-15.428238,1146.3844,-176.66771,-440.60352,-177.14062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31056,-14.731293,1146.3844,-176.8895,-440.61218,-176.14062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31057,-14.034348,1146.3844,-177.14287,-440.62024,-175.125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31058,-13.210724,1146.3844,-177.45975,-440.62738,-174.14062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31059,-12.545349,1146.3844,-177.64961,-440.63403,-173.15625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31060,-11.658203,1146.3844,-177.80823,-440.64026,-172.17188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31061,-10.802994,1146.3844,-177.96649,-440.646,-171.20312,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31062,-9.63089,1146.3844,-178.0616,-440.6515,-170.25,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31063,-8.426849,1146.3844,-178.0616,-440.65704,-169.3125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31064,-7.2863464,1146.3844,-178.12477,-440.6624,-168.375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31065,-5.892456,1146.3844,-178.21988,-440.66754,-167.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31066,-4.910553,1146.3844,-178.31497,-440.67236,-166.57812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31067,-3.833191,1146.3844,-178.41006,-440.67694,-165.6875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31068,-2.312622,1146.3844,-178.44165,-440.68146,-164.82812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31069,-0.6337738,1146.3844,-178.44165,-440.68597,-164.0,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31070,0.7920532,1146.3844,-178.31497,-440.69086,-163.17188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31071,2.2175293,1146.3844,-178.21988,-440.69604,-162.375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31072,3.389618,1146.3844,-178.21988,-440.70117,-161.60938,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31073,4.276764,1146.3844,-178.28339,-440.70612,-160.84375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31074,5.00531,1146.3844,-178.41006,-440.7107,-160.07812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31075,5.6390686,1146.3844,-178.47324,-440.7151,-159.34375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31076,6.1142273,1146.3844,-178.50517,-440.71936,-158.60938,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31077,6.5578003,1146.3844,-178.53676,-440.72357,-157.875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31078,7.0645447,1146.3844,-178.53676,-440.72778,-157.15625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31079,7.5081177,1146.3844,-178.50517,-440.73206,-156.4375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31080,7.9516907,1146.3844,-178.50517,-440.73633,-155.73438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31081,8.426849,1146.3844,-178.50517,-440.7406,-155.04688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31082,8.96553,1146.3844,-178.53676,-440.74475,-154.34375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31083,9.50386,1146.3844,-178.59993,-440.74878,-153.67188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31084,10.232727,1146.3844,-178.72662,-440.75244,-153.0,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31085,10.897751,1146.3844,-178.79013,-440.75586,-152.34375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31086,11.531525,1146.3844,-178.82172,-440.75916,-151.70312,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
