tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
127895,2.0705872,826.9678,-138.47064,-1020.1412,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127896,2.0705872,828.1482,-138.47064,-1021.5371,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127897,2.0705872,829.3313,-138.47064,-1022.9308,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127898,2.1337585,830.5167,-138.40714,-1024.3225,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127899,2.2923584,831.70465,-138.24887,-1025.712,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127900,2.4506378,832.8952,-138.12218,-1027.0994,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127901,2.5773315,834.0884,-138.02707,-1028.4844,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127902,2.6724243,835.28406,-137.9639,-1029.8672,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127903,2.7355957,836.482,-137.93198,-1031.2482,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127904,2.7991028,837.6822,-137.8688,-1032.6271,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127905,2.9257965,838.86755,-137.8688,-1033.9865,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127906,3.084076,839.9585,-137.8688,-1035.2375,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127907,3.2742615,840.94073,-137.90039,-1036.3643,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127908,3.4644775,841.84314,-137.93198,-1037.3994,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127909,3.7494202,842.6724,-137.9639,-1038.3507,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127910,4.0663147,843.4344,-137.90039,-1039.2249,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127911,4.414795,844.12964,-137.77371,-1040.0226,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127912,4.6997375,844.758,-137.71019,-1040.7437,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127913,4.8899536,845.31946,-137.71019,-1041.3881,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127914,5.111725,845.6849,-137.71019,-1042.0732,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127915,5.2700043,845.8734,-137.71019,-1042.7864,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127916,5.3651123,845.90704,-137.71019,-1043.5188,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
