pitch,yaw,tick,steamid,name
3.2687683,-50.451965,31669,76561198822643426,XXX
3.1705933,-50.05954,31670,76561198822643426,XXX
3.105011,-49.830902,31671,76561198822643426,XXX
2.9742126,-49.569275,31672,76561198822643426,XXX
2.876358,-49.340286,31673,76561198822643426,XXX
2.7455444,-48.980484,31674,76561198822643426,XXX
2.6799774,-48.75183,31675,76561198822643426,XXX
2.614746,-48.588074,31676,76561198822643426,XXX
2.5491638,-48.424652,31677,76561198822643426,XXX
2.5165558,-48.326447,31678,76561198822643426,XXX
2.4839478,-48.29384,31679,76561198822643426,XXX
2.4839478,-48.228607,31680,76561198822643426,XXX
2.4839478,-48.163025,31681,76561198822643426,XXX
2.4839478,-48.09781,31682,76561198822643426,XXX
2.4513245,-48.06485,31683,76561198822643426,XXX
2.4513245,-48.06485,31684,76561198822643426,XXX
2.4513245,-48.06485,31685,76561198822643426,XXX
2.4513245,-48.06485,31686,76561198822643426,XXX
2.4183655,-48.032227,31687,76561198822643426,XXX
2.3531342,-47.999603,31688,76561198822643426,XXX
2.3531342,-47.999603,31689,76561198822643426,XXX
2.3531342,-47.999603,31690,76561198822643426,XXX
2.3531342,-47.97455,31691,76561198822643426,XXX
2.3531342,-47.97455,31692,76561198822643426,XXX
2.3531342,-47.97455,31693,76561198822643426,XXX
2.338379,-47.97455,31694,76561198822643426,XXX
2.2947693,-47.916183,31695,76561198822643426,XXX
2.2659302,-47.81456,31696,76561198822643426,XXX
2.2075653,-47.582123,31697,76561198822643426,XXX
2.1059418,-47.08809,31698,76561198822643426,XXX
1.9511108,-46.285065,31699,76561198822643426,XXX
1.7221069,-45.184357,31700,76561198822643426,XXX
1.6585999,-44.645355,31701,76561198822643426,XXX
1.6585999,-44.645355,31702,76561198822643426,XXX
1.6585999,-44.645355,31703,76561198822643426,XXX
1.6585999,-44.645355,31704,76561198822643426,XXX
1.5607452,-45.103333,31705,76561198822643426,XXX
1.4625549,-46.705627,31706,76561198822643426,XXX
1.5607452,-49.97577,31707,76561198822643426,XXX
1.8549805,-52.886124,31708,76561198822643426,XXX
2.607193,-61.87912,31709,76561198822643426,XXX
3.0648499,-72.67044,31710,76561198822643426,XXX
3.5554504,-83.788605,31711,76561198822643426,XXX
3.6206818,-91.63696,31712,76561198822643426,XXX
3.5880737,-102.689896,31713,76561198822643426,XXX
3.3264465,-112.50034,31714,76561198822643426,XXX
3.1304169,-119.49829,31715,76561198822643426,XXX
3.097458,-123.52032,31716,76561198822643426,XXX
3.3264465,-125.3516,31717,76561198822643426,XXX
3.980484,-125.38456,31718,76561198822643426,XXX
4.3073273,-124.207306,31719,76561198822643426,XXX
4.536316,-122.637634,31720,76561198822643426,XXX
4.6997375,-121.82018,31721,76561198822643426,XXX
4.6997375,-121.82018,31722,76561198822643426,XXX
4.6997375,-121.82018,31723,76561198822643426,XXX
4.6997375,-121.82018,31724,76561198822643426,XXX
4.6997375,-121.82018,31725,76561198822643426,XXX
