tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
40001,-0.55000305,-608.93835,-49.893036,-1502.1008,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40002,-1.1549377,-606.7736,-46.922943,-1501.135,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40003,-1.4024658,-604.99097,-45.602875,-1500.4495,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40004,-1.7598724,-603.5525,-43.622925,-1500.0283,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40005,-2.1450806,-602.4259,-42.44052,-1499.8545,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40006,-2.4475403,-601.5919,-41.78032,-1499.9113,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40007,-3.079956,-601.0479,-40.872925,-1500.1796,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40008,-3.6574097,-600.7811,-40.185577,-1500.6235,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40009,-4.1250305,-600.751,-39.69052,-1501.2028,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40010,-4.42749,-600.90906,-39.305298,-1501.904,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40011,-5.1151733,-601.2237,-38.315506,-1502.7329,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40012,-5.445099,-601.67926,-37.79297,-1503.695,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40013,-5.8848877,-602.26544,-37.13275,-1504.7954,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40014,-6.0500336,-602.9773,-36.913025,-1506.037,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40015,-6.159897,-603.80444,-36.88556,-1507.4084,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40016,-6.2151794,-604.7379,-36.995422,-1508.8989,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40017,-6.270111,-605.77094,-37.435577,-1510.4976,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40018,-6.270111,-606.89667,-37.738037,-1512.1943,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40019,-6.270111,-608.1088,-38.040497,-1513.9808,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40020,-6.270111,-609.4004,-38.040497,-1515.8495,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40021,-6.270111,-610.76495,-38.01303,-1517.7936,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40022,-6.297577,-612.19574,-37.8479,-1519.8077,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40023,-6.3525085,-613.68555,-37.35283,-1521.8876,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40024,-6.3799744,-615.2281,-36.967957,-1524.029,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40025,-6.40744,-616.818,-36.692963,-1526.2279,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40026,-6.40744,-618.4493,-36.170425,-1528.4813,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40027,-6.3799744,-620.11676,-35.81302,-1530.7855,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40028,-6.3525085,-621.81635,-35.427826,-1533.138,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40029,-6.297577,-623.5421,-34.713013,-1535.5364,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40030,-6.270111,-625.2878,-33.66794,-1537.9805,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40031,-6.270111,-627.0488,-32.952805,-1540.4683,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
40032,-6.270111,-628.82,-32.072876,-1542.9983,-167.96875,76561199849680237,S1lent|Talent_skins.army,1,ak47,rifle,586.3446782426689,0.027816772,0.1376648,1.3404775
